model,fold,case,region,gt_voxels,pred_voxels,mask_status,hd95_status,hd95_mm
SegMamba_150epochs,0,BraTS20_Training_251.nii.gz,WT,82921,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_251.nii.gz,TC,20900,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_251.nii.gz,ET,17626,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_259.nii.gz,WT,119314,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_259.nii.gz,TC,13550,,both_nonempty,finite,21.77154105707724
SegMamba_150epochs,0,BraTS20_Training_259.nii.gz,ET,10957,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_284.nii.gz,WT,196181,,both_nonempty,finite,6.4031242374328485
SegMamba_150epochs,0,BraTS20_Training_284.nii.gz,TC,141724,,both_nonempty,finite,4.123105625617661
SegMamba_150epochs,0,BraTS20_Training_284.nii.gz,ET,3562,,both_nonempty,finite,6.164414002968976
SegMamba_150epochs,0,BraTS20_Training_287.nii.gz,WT,49010,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_287.nii.gz,TC,29511,,both_nonempty,finite,3.0
SegMamba_150epochs,0,BraTS20_Training_287.nii.gz,ET,27264,,both_nonempty,finite,3.7416573867739413
SegMamba_150epochs,0,BraTS20_Training_297.nii.gz,WT,74866,,both_nonempty,finite,8.246211251235321
SegMamba_150epochs,0,BraTS20_Training_297.nii.gz,TC,24514,,both_nonempty,finite,12.041594578792296
SegMamba_150epochs,0,BraTS20_Training_297.nii.gz,ET,0,,both_empty,nan,
SegMamba_150epochs,0,BraTS20_Training_302.nii.gz,WT,115617,,both_nonempty,finite,4.898979485566356
SegMamba_150epochs,0,BraTS20_Training_302.nii.gz,TC,102423,,both_nonempty,finite,5.0990195135927845
SegMamba_150epochs,0,BraTS20_Training_302.nii.gz,ET,2162,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_305.nii.gz,WT,125421,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_305.nii.gz,TC,71627,,both_nonempty,finite,4.358898943540674
SegMamba_150epochs,0,BraTS20_Training_305.nii.gz,ET,0,,gt_empty_pred_nonempty,inf,
SegMamba_150epochs,0,BraTS20_Training_329.nii.gz,WT,62935,,both_nonempty,finite,2.8284271247461903
SegMamba_150epochs,0,BraTS20_Training_329.nii.gz,TC,45782,,both_nonempty,finite,10.44030650891055
SegMamba_150epochs,0,BraTS20_Training_329.nii.gz,ET,0,,gt_empty_pred_nonempty,inf,
